Title,Date
"Supergirl: Season 3: Legion of Super-Heroes","11/15/21"
"Supergirl: Season 3: Reign","11/15/21"
"Supergirl: Season 3: Crisis on Earth-X, Part 1","11/15/21"
"Supergirl: Season 3: Wake Up","11/15/21"
"Love Hard","11/13/21"
"Top Secret UFO Projects: Declassified: Season 1: After Disclosure","11/10/21"
"Maya and the Three: Limited Series: Chapter 2: The Prophecy","11/1/21"
"Top Secret UFO Projects: Declassified: Season 1: Soviet Secrets","10/29/21"
"Top Secret UFO Projects: Declassified: Season 1: Hacked and Leaked","10/29/21"
"Maya and the Three: Limited Series: Chapter 1: Quinceañera","10/29/21"
"Instant Family","10/24/21"
"Night Teeth","10/22/21"
"Top Secret UFO Projects: Declassified: Season 1: Code Name Aurora","10/11/21"
"Supergirl: Season 3: Midvale","10/11/21"
"Supergirl: Season 3: Damage","10/11/21"
"Love Don't Cost a Thing","9/25/21"
"Top Secret UFO Projects: Declassified: Season 1: The White House Cover-Up","9/25/21"
"Top Secret UFO Projects: Declassified: Season 1: Project Blue Book Unknown","9/25/21"
"Night School","9/21/21"
"Nightbooks","9/21/21"
"Money Heist: Part 1: Episode 5","9/18/21"
"Money Heist: Part 1: Episode 4","9/18/21"
"Money Heist: Part 1: Episode 3","9/18/21"
"Money Heist: Part 1: Episode 2","9/18/21"
"Money Heist: Part 1: Episode 1","9/18/21"
"Money Heist: Part 5: Live Many Lives","9/13/21"
"Money Heist: Part 5: Your Place in Heaven","9/13/21"
"Money Heist: Part 5: Welcome to the Spectacle of Life","9/13/21"
"Money Heist: Part 5: Do You Believe in Reincarnation?","9/11/21"
"Money Heist: Part 5: The End of the Road","9/11/21"
"Resort to Love","9/11/21"
"The Kissing Booth 3","9/6/21"
"The Last Mercenary","9/6/21"
"Brooklyn Nine-Nine: Season 1: Pilot","9/6/21"
"Newly Rich, Newly Poor: Season 1: Episode 1","9/6/21"
"Alpha","9/6/21"
"Afterlife of the Party","9/6/21"
"Vikings: Season 1: Rites of Passage","9/6/21"
"He's All That","8/28/21"
"Vivo","8/12/21"
"Blood Red Sky","7/29/21"
"Nobody's Fool","7/26/21"
"Masters of the Universe: Revelation: Part 1: The Poisoned Chalice","7/25/21"
"Masters of the Universe: Revelation: Part 1: The Power of Grayskull","7/25/21"
"Happy Death Day 2U","7/25/21"
"Tô Ryca","7/18/21"
"Never Have I Ever: Season 1: Pilot","7/18/21"
"Fear Street Part 3: 1666","7/16/21"
"Fear Street Part 2: 1978","7/11/21"
"Supergirl: Season 3: The Faithful","7/11/21"
"Supergirl: Season 3: Far From the Tree","7/11/21"
"Supergirl: Season 3: Triggers","7/11/21"
"Supergirl: Season 3: Girl of Steel","7/11/21"
"Supergirl: Season 2: Nevertheless, She Persisted","7/11/21"
"Supergirl: Season 2: Resist","7/11/21"
"Supergirl: Season 2: City of Lost Children","7/11/21"
"Finding ‘Ohana","7/10/21"
"Love and Monsters","7/10/21"
"Fatherhood","7/9/21"
"Fear Street Part 1: 1994","7/8/21"
"Lupin: Part 2: Chapter 10","7/5/21"
"Lupin: Part 2: Chapter 9","7/4/21"
"Lupin: Part 2: Chapter 8","7/4/21"
"Supergirl: Season 2: Alex","7/4/21"
"Lupin: Part 2: Chapter 7","6/30/21"
"Lupin: Part 2: Chapter 6","6/30/21"
"Army of the Dead","6/9/21"
"Dog Gone Trouble","5/29/21"
"Daughter From Another Mother: Season 1: Baptism","5/24/21"
"Daughter From Another Mother: Season 1: Lies","5/24/21"
"Daughter From Another Mother: Season 1: Quality Time","5/24/21"
"Daughter From Another Mother: Season 1: Dating","5/24/21"
"Daughter From Another Mother: Season 1: My Family's Not Perfect","5/23/21"
"Daughter From Another Mother: Season 1: Fatherhood","5/22/21"
"Daughter From Another Mother: Season 1: Family Dynamics","5/22/21"
"Daughter From Another Mother: Season 1: Welcome Home","5/22/21"
"Daughter From Another Mother: Season 1: Eeny, Meeny, Miny, Moe","5/22/21"
"The Sons of Sam: A Descent into Darkness: Limited Series: Hello from the Gutters","5/21/21"
"The Bold Type: Season 1: O Hell No","5/17/21"
"The Bold Type: Season 1: Pilot","5/17/21"
"Wanderlust","5/11/21"
"Supergirl: Season 2: Ace Reporter","5/9/21"
"Supergirl: Season 2: Distant Sun","5/9/21"
"The Flash: Season 3: Duet","5/9/21"
"Supergirl: Season 2: Star-Crossed","5/9/21"
"Supergirl: Season 2: Exodus","5/9/21"
"Supergirl: Season 2: Homecoming","5/9/21"
"Thunder Force","4/19/21"
"Secret Magic Control Agency","4/12/21"
"Ancient Aliens: Season 3: Aliens and the Old West","4/11/21"
"Exhibit A: Season 1: Touch DNA","4/11/21"
"Exhibit A: Season 1: Cadaver Dogs","3/19/21"
"Exhibit A: Season 1: Blood Spatter","3/18/21"
"Beverly Hills Ninja","3/15/21"
"The Ripper: Limited Series: Once Upon a Time in Yorkshire","3/14/21"
"YES DAY","3/14/21"
"Crime Scene: The Vanishing at the Cecil Hotel: Limited Series: Lost in Los Angeles","3/10/21"
"Crime Scene: The Vanishing at the Cecil Hotel: Limited Series: The Hard Truth","3/10/21"
"Crime Scene: The Vanishing at the Cecil Hotel: Limited Series: Down the Rabbit Hole","3/7/21"
"Supergirl: Season 2: Mr. & Mrs. Mxzyptlk","3/4/21"
"Supergirl: Season 2: Luthors","3/4/21"
"Supergirl: Season 2: The Martian Chronicles","3/4/21"
"Squared Love","2/24/21"
"Crime Scene: The Vanishing at the Cecil Hotel: Limited Series: Secrets of the Cecil","2/22/21"
"The Accountant","2/19/21"
"The Adventures of Sharkboy and Lavagirl","2/16/21"
"Madagascar 3: Europe's Most Wanted","2/16/21"
"Haunted: Season 2: Ward of Evil","2/14/21"
"To All The Boys: Always And Forever","2/13/21"
"Exhibit A: Season 1: Video Forensics","2/8/21"
"Rock Dog","2/3/21"
"Dangerous Lies","2/2/21"
"The Pelican Brief","1/31/21"
"Storks","1/28/21"
"Supergirl: Season 2: We Can Be Heroes","1/28/21"
"Supergirl: Season 2: Supergirl Lives","1/28/21"
"The Queen's Gambit: Limited Series: Openings","1/24/21"
"The Queen's Gambit: Limited Series: End Game","1/24/21"
"The Queen's Gambit: Limited Series: Adjournment","1/24/21"
"Double Dad","1/24/21"
"Going in Style","1/24/21"
"The Queen's Gambit: Limited Series: Fork","1/23/21"
"The Queen's Gambit: Limited Series: Middle Game","1/23/21"
"The Queen's Gambit: Limited Series: Doubled Pawns","1/22/21"
"The Queen's Gambit: Limited Series: Exchanges","1/22/21"
"DC's Legends of Tomorrow: Season 2: Invasion!","1/20/21"
"Lupin: Part 1: Chapter 5","1/20/21"
"Lupin: Part 1: Chapter 4","1/20/21"
"Lupin: Part 1: Chapter 3","1/19/21"
"Lupin: Part 1: Chapter 2","1/19/21"
"Hop","1/19/21"
"Lupin: Part 1: Chapter 1","1/19/21"
"Arrow: Season 5: Invasion","1/18/21"
"The Flash: Season 3: Invasion!","1/18/21"
"Supergirl: Season 2: Medusa","1/18/21"
"Supergirl: Season 2: The Darkest Place","1/18/21"
"Supergirl: Season 2: Changing","1/18/21"
"Disenchantment: Part 1: The Princess of Darkness","1/17/21"
"Disenchantment: Part 1: For Whom the Pig Oinks","1/17/21"
"Disenchantment: Part 1: A Princess, an Elf, and a Demon Walk Into a Bar","1/17/21"
